Lower.Super.Output.Area,Mid.year.Population.Estimates.All.Ages.2011,Mid.year.Population.Estimates.Aged.0.15.2011,Mid.year.Population.Estimates.Aged.16.29.2011,Mid.year.Population.Estimates.Aged.30.44.2011,Mid.year.Population.Estimates.Aged.45.64.2011,Mid.year.Population.Estimates.Aged.65..2011,Ethnic.Group.White.....2011,Ethnic.Group.Mixed.multiple.ethnic.groups.....2011,Ethnic.Group.Asian.Asian.British.....2011,Ethnic.Group.Black.African.Caribbean.Black.British.....2011,Ethnic.Group.Other.ethnic.group.....2011,Ethnic.Group.BAME.....2011
E01000027,1710,470,316,350,345,229,71.7,5.4,9.2,13.3,0.4,28.3
E01000028,1553,418,318,330,268,219,57.9,5.2,13.9,21.7,1.3,42.1
E01000029,1591,286,246,294,328,437,63.9,2.6,18.7,13.2,1.7,36.1
E01000030,1929,580,393,418,333,205,65.7,6.1,7.7,18.7,1.8,34.3
E01000031,1617,351,293,334,409,230,49.8,5,26.5,15.8,2.9,50.2
E01000032,1641,357,331,356,361,236,62.3,3.8,19.2,12.6,2.1,37.7
E01000110,1418,297,268,295,363,195,55.4,3.8,22.2,16.4,2.1,44.6
E01000111,1846,446,377,406,371,246,61,3.8,16.7,16.8,1.6,39
E01000112,1881,404,417,482,376,202,49.9,5,25.7,17.7,1.8,50.1
E01000113,1685,402,283,436,391,173,49.3,4.3,26.3,17.1,3,50.7
E01000034,1436,312,263,258,332,271,76.5,2.3,4.5,16.2,0.6,23.5
E01000037,1703,263,468,294,458,220,83.4,2.7,4.4,9,0.5,16.6
E01000038,1443,285,259,242,387,270,83.5,2.5,6.3,7.4,0.3,16.5
E01000039,1603,322,299,368,365,249,80.2,4.4,5.2,9.7,0.4,19.8
E01000063,1629,423,309,367,337,193,73.7,3.3,7.8,14.3,0.9,26.3
E01000100,1656,456,284,399,338,179,70.2,4,10.7,13.7,1.5,29.8
E01000101,1519,368,276,362,347,166,70.6,2.8,9.7,15.9,1,29.4
E01000109,1691,411,345,382,374,179,60.6,4.2,18.4,16,0.8,39.4
E01000114,2093,543,391,476,448,235,58.9,3.8,13.8,22.9,0.7,41.1
E01000033,1366,365,273,277,294,157,76,3.8,3.7,15.9,0.6,24
E01000060,1814,499,305,416,350,244,65.9,2.8,7.1,23.2,0.9,34.1
E01000061,1792,589,494,375,270,64,64.5,4.4,5,25,1.2,35.5
E01000062,1954,484,354,406,442,268,64.4,3.2,8.4,23.9,0.1,35.6
E01000064,1897,455,370,380,401,291,67.4,3.4,5,23.8,0.4,32.6
E01000065,1734,393,304,402,346,289,71.3,3.2,6.3,18,1.3,28.7
E01000078,1681,447,372,336,357,169,69.1,4.6,9.7,15.4,1.2,30.9
E01000080,1565,398,310,359,321,177,69.2,5.1,5.8,18.6,1.3,30.8
E01000081,1698,422,319,351,414,192,68.3,3.3,6.9,20,1.5,31.7
E01000082,1686,455,300,429,341,161,71,3.5,7.5,17.1,0.9,29
E01000083,1703,459,310,405,331,198,67.8,4.4,9.3,17,1.5,32.2
E01000102,1549,386,269,364,333,197,70.8,4.9,7.9,15.5,0.9,29.2
E01000021,1588,384,387,378,311,128,54.1,5.4,19.8,19.6,1.1,45.9
E01000022,1315,351,262,298,288,116,63.5,5.3,11.1,19.4,0.7,36.5
E01000023,1130,242,263,308,205,112,55.4,4.4,21.2,17.1,1.9,44.6
E01000024,1342,365,265,315,279,118,55.9,4.3,16.2,21.5,2,44.1
E01000025,1609,389,316,373,368,163,69.2,4.5,10.6,15.2,0.4,30.8
E01000077,1452,342,277,377,304,152,67.1,2.1,9.5,20.4,0.8,32.9
E01000015,2271,680,495,568,378,150,66.5,3.3,6.9,21.4,1.9,33.5
E01000016,1646,423,303,362,370,188,70.5,3.2,7.1,18.1,1,29.5
E01000017,1602,399,309,374,359,161,69.4,3.2,6.9,19.4,1.1,30.6
E01000018,1608,435,276,389,335,173,71.6,3.2,7.3,17.5,0.4,28.4
E01000079,1553,417,277,313,331,215,69.1,3.3,9.1,17.8,0.7,30.9
E01000035,1613,369,324,320,374,226,67.1,3.7,9.9,18.4,0.9,32.9
E01000036,1354,302,262,299,339,152,57.9,2.4,17.9,21.4,0.3,42.1
E01000107,1665,391,281,314,402,277,71.3,2.5,8.5,16.8,0.9,28.7
E01000108,1556,329,319,344,381,183,67.7,4.3,8.9,18,1.2,32.3
E01000066,1941,492,416,411,415,207,47.7,4,36.8,9.3,2.3,52.3
E01000067,1985,453,440,409,453,230,46.4,2.4,36.4,12.8,1.9,53.6
E01000069,1777,410,419,346,421,181,45.9,4.7,41.6,6.1,1.8,54.1
E01000070,1987,412,470,417,409,279,42,5.9,43,7.6,1.5,58
E01000071,2272,540,506,528,427,271,38.5,4.6,41.4,12.5,3.1,61.5
E01000057,1505,440,274,355,295,141,64.9,5,5.7,22.7,1.6,35.1
E01000073,1618,437,279,408,309,185,70.8,4.1,9.1,14.9,1.1,29.2
E01000074,1577,438,305,363,309,162,72,5.4,4.9,16.5,1.1,28
E01000075,1738,436,308,385,395,214,73,4.8,7.9,13.7,0.5,27
E01000076,1994,607,347,468,390,182,64.3,3.2,10.5,20.8,1.2,35.7
E01000013,1668,417,308,366,357,220,68.6,4,9.9,17.1,0.3,31.4
