ID,Class Number,Classificati/Users/soraiyasalemohamed/Desktop/Dissertation/BE3/Download_pointsofinterest_1003716/poi_2460824/docs/POI_CLASSIFICATIONS.txton Description,Category Number Foreign Key
1,0002,"CAMPING, CARAVANNING, MOBILE HOMES, HOLIDAY PARKS AND CENTRES",1
2,0003,BED AND BREAKFAST AND BACKPACKER ACCOMMODATION,1
3,0005,HOSTELS AND REFUGES FOR THE HOMELESS,1
4,0006,"HOTELS, MOTELS, COUNTRY HOUSES AND INNS",1
5,0007,SELF CATERING,1
6,0008,TIMESHARE,1
7,0009,YOUTH ACCOMMODATION,1
8,0012,BANQUETING AND FUNCTION ROOMS,2
9,0013,"CAFES, SNACK BARS AND TEA ROOMS",2
10,0018,FAST FOOD AND TAKEAWAY OUTLETS,2
11,0019,FAST FOOD DELIVERY SERVICES,2
12,0020,FISH AND CHIP SHOPS,2
13,0025,INTERNET CAFES,2
14,0034,"PUBS, BARS AND INNS",2
15,0043,RESTAURANTS,2
46,0075,CAREERS OFFICES AND ARMED FORCES RECRUITMENT,5
47,0076,DOMESTIC STAFF AND HOME HELP,5
49,0078,EMPLOYMENT AGENCIES,5
75,0115,"ARTISTS, ILLUSTRATORS AND CALLIGRAPHERS",8
86,0126,MAILING AND OTHER INFORMATION SERVICES,8
90,0130,PRINTING AND PHOTOCOPYING SERVICES,8
91,0131,RECORDING STUDIOS AND RECORD COMPANIES,8
92,0133,"TELEPHONE, TELEX AND FAX SERVICES",8
94,0135,ACCOUNTANTS AND AUDITORS,9
95,0137,"AUCTIONEERS, AUCTION ROOMS AND VALUERS",9
96,0138,BANKS AND BUILDING SOCIETIES,9
97,0140,CURRENCY CONVERSION AND MONEY TRANSFERS,9
98,0141,CASH MACHINES,9
99,0142,CHEQUE CASHING,9
104,0147,FINANCIAL ADVICE SERVICES,9
105,0148,FUNDRAISING SERVICES,9
106,0149,INSURERS AND SUPPORT ACTIVITIES,9
107,0150,MORTGAGE AND FINANCIAL LENDERS,9
108,0151,PAWNBROKERS,9
109,0154,"SOLICITORS, ADVOCATES AND NOTARIES PUBLIC",9
113,0811,PAYPOINT LOCATIONS,9
114,0829,PENSION AND FUND MANAGEMENT,9
115,0103,HOTEL BOOKING AGENCIES,10
116,0112,EVENT TICKET AGENTS AND BOX OFFICE,10
117,0155,"ASTROLOGERS, CLAIRVOYANTS AND PALMISTS",10
118,0156,HAIR AND BEAUTY SERVICES,10
119,0158,CLEANING SERVICES,10
120,0160,CUSTOMER SERVICE CENTRES,10
121,0161,CV WRITERS,10
122,0162,DETECTIVE AND INVESTIGATION AGENCIES,10
125,0167,"HEADQUARTERS, ADMINISTRATION AND CENTRAL OFFICES",10
126,0169,INTRODUCTION AND DATING AGENCIES,10
127,0170,"LOCK, KEY AND SECURITY SERVICES",10
128,0171,MESSAGE AND GREETING SERVICES,10
130,0174,PARTY ORGANISERS,10
131,0175,PERSONALISATION,10
132,0177,PHOTOGRAPHIC SERVICES,10
133,0179,SPORTS SERVICES,10
134,0180,TATTOOING AND PIERCING SERVICES,10
135,0182,TROPHIES AND ENGRAVING SERVICES,10
138,0186,WEDDING SERVICES,10
140,0774,"MUSICIANS, ORCHESTRAS AND COMPOSERS",10
142,0776,TAILORING AND CLOTHING ALTERATION,10
145,0821,SPAS,10
146,0822,SLIMMING CLUBS AND SERVICES,10
147,0823,ADULT SERVICES,10
148,0826,PRINTING ON GARMENTS,10
149,0189,COMMERCIAL PROPERTY LETTING,11
150,0190,PROPERTY SALES,11
151,0191,ESTATE AND PROPERTY MANAGEMENT,11
152,0192,PROPERTY LETTING,11
153,0194,PROPERTY DEVELOPMENT SERVICES,11
154,0195,PROPERTY INFORMATION SERVICES,11
155,0196,"RECYCLING, RECLAMATION AND DISPOSAL",12
156,0198,RAG MERCHANTS,12
157,0199,CLEARANCE AND SALVAGE DEALERS,12
161,0205,ELECTRICAL EQUIPMENT REPAIR AND SERVICING,13
165,0210,SPORTS AND LEISURE EQUIPMENT REPAIR,13
166,0211,TOOL REPAIRS,13
168,0793,SHOE REPAIRS,13
169,0214,DESIGN SERVICES,14
170,0216,RESEARCH SERVICES,14
174,0221,CONTAINER AND STORAGE,15
175,0222,"COURIER, DELIVERY AND MESSENGER",15
176,0223,DISTRIBUTION AND HAULAGE,15
181,0230,TAXI SERVICES,15
182,0097,BOAT HIRING SERVICES,60
184,0104,LEISURE EQUIPMENT HIRINGS,60
185,0110,RENTING AND LEASING OF PERSONAL AND HOUSEHOLD GOODS,60
186,0111,"SOUND, LIGHT AND VISION SERVICE AND EQUIPMENT HIRE",60
187,0113,VEHICLE HIRE AND RENTAL,60
188,0159,CLOTHING HIRE,60
189,0270,BOUNCY CASTLES AND INFLATABLES HIRE,60
190,0231,AQUARIA AND SEA LIFE CENTRES,16
191,0232,"BIRD RESERVES, COLLECTIONS AND SANCTUARIES",16
192,0233,BUTTERFLY FARMS,16
193,0235,FARM BASED ATTRACTIONS,16
194,0236,HORTICULTURAL ATTRACTIONS,16
195,0237,SALMON LADDERS,16
196,0239,ZOOS AND ANIMAL COLLECTIONS,16
197,0240,ARCHAEOLOGICAL SITES,17
198,0241,BATTLEFIELDS,17
199,0244,"HISTORIC BUILDINGS INCLUDING CASTLES, FORTS AND ABBEYS",17
200,0245,HISTORIC AND CEREMONIAL STRUCTURES,17
201,0246,HISTORICAL SHIPS,17
202,0248,MUSEUMS,17
203,0813,ART GALLERIES,17
204,0252,COMMONS,18
205,0253,COUNTRY AND NATIONAL PARKS,18
206,0254,PICNIC AREAS,18
207,0255,PLAYGROUNDS,18
208,0814,MUNICIPAL PARKS AND GARDENS,18
209,0257,DESIGNATED SCENIC FEATURES,19
211,0263,"LASERIA, OBSERVATORIES AND PLANETARIA",20
212,0264,MODEL VILLAGES,20
213,0265,"RAILWAYS (HERITAGE, STEAM AND MINIATURE)",20
