ID	Class Number	Classificati/Users/soraiyasalemohamed/Desktop/Dissertation/BE3/Download_pointsofinterest_1003716/poi_2460824/docs/POI_CLASSIFICATIONS.txton Description	Category Number Foreign Key
1	2	"CAMPING, CARAVANNING, MOBILE HOMES, HOLIDAY PARKS AND CENTRES"	1
2	3	BED AND BREAKFAST AND BACKPACKER ACCOMMODATION	1
3	5	HOSTELS AND REFUGES FOR THE HOMELESS	1
4	6	"HOTELS, MOTELS, COUNTRY HOUSES AND INNS"	1
5	7	SELF CATERING	1
6	8	TIMESHARE	1
7	9	YOUTH ACCOMMODATION	1
8	12	BANQUETING AND FUNCTION ROOMS	2
9	13	"CAFES, SNACK BARS AND TEA ROOMS"	2
10	18	FAST FOOD AND TAKEAWAY OUTLETS	2
11	19	FAST FOOD DELIVERY SERVICES	2
12	20	FISH AND CHIP SHOPS	2
13	25	INTERNET CAFES	2
14	34	"PUBS, BARS AND INNS"	2
15	43	RESTAURANTS	2
46	75	CAREERS OFFICES AND ARMED FORCES RECRUITMENT	5
47	76	DOMESTIC STAFF AND HOME HELP	5
49	78	EMPLOYMENT AGENCIES	5
75	115	"ARTISTS, ILLUSTRATORS AND CALLIGRAPHERS"	8
86	126	MAILING AND OTHER INFORMATION SERVICES	8
90	130	PRINTING AND PHOTOCOPYING SERVICES	8
91	131	RECORDING STUDIOS AND RECORD COMPANIES	8
92	133	"TELEPHONE, TELEX AND FAX SERVICES"	8
94	135	ACCOUNTANTS AND AUDITORS	9
95	137	"AUCTIONEERS, AUCTION ROOMS AND VALUERS"	9
96	138	BANKS AND BUILDING SOCIETIES	9
97	140	CURRENCY CONVERSION AND MONEY TRANSFERS	9
98	141	CASH MACHINES	9
99	142	CHEQUE CASHING	9
104	147	FINANCIAL ADVICE SERVICES	9
105	148	FUNDRAISING SERVICES	9
106	149	INSURERS AND SUPPORT ACTIVITIES	9
107	150	MORTGAGE AND FINANCIAL LENDERS	9
108	151	PAWNBROKERS	9
109	154	"SOLICITORS, ADVOCATES AND NOTARIES PUBLIC"	9
113	811	PAYPOINT LOCATIONS	9
114	829	PENSION AND FUND MANAGEMENT	9
115	103	HOTEL BOOKING AGENCIES	10
116	112	EVENT TICKET AGENTS AND BOX OFFICE	10
117	155	"ASTROLOGERS, CLAIRVOYANTS AND PALMISTS"	10
118	156	HAIR AND BEAUTY SERVICES	10
119	158	CLEANING SERVICES	10
120	160	CUSTOMER SERVICE CENTRES	10
121	161	CV WRITERS	10
122	162	DETECTIVE AND INVESTIGATION AGENCIES	10
125	167	"HEADQUARTERS, ADMINISTRATION AND CENTRAL OFFICES"	10
126	169	INTRODUCTION AND DATING AGENCIES	10
127	170	"LOCK, KEY AND SECURITY SERVICES"	10
128	171	MESSAGE AND GREETING SERVICES	10
130	174	PARTY ORGANISERS	10
131	175	PERSONALISATION	10
132	177	PHOTOGRAPHIC SERVICES	10
133	179	SPORTS SERVICES	10
134	180	TATTOOING AND PIERCING SERVICES	10
135	182	TROPHIES AND ENGRAVING SERVICES	10
138	186	WEDDING SERVICES	10
140	774	"MUSICIANS, ORCHESTRAS AND COMPOSERS"	10
142	776	TAILORING AND CLOTHING ALTERATION	10
145	821	SPAS	10
146	822	SLIMMING CLUBS AND SERVICES	10
147	823	ADULT SERVICES	10
148	826	PRINTING ON GARMENTS	10
149	189	COMMERCIAL PROPERTY LETTING	11
150	190	PROPERTY SALES	11
151	191	ESTATE AND PROPERTY MANAGEMENT	11
152	192	PROPERTY LETTING	11
153	194	PROPERTY DEVELOPMENT SERVICES	11
154	195	PROPERTY INFORMATION SERVICES	11
155	196	"RECYCLING, RECLAMATION AND DISPOSAL"	12
156	198	RAG MERCHANTS	12
157	199	CLEARANCE AND SALVAGE DEALERS	12
161	205	ELECTRICAL EQUIPMENT REPAIR AND SERVICING	13
165	210	SPORTS AND LEISURE EQUIPMENT REPAIR	13
166	211	TOOL REPAIRS	13
168	793	SHOE REPAIRS	13
169	214	DESIGN SERVICES	14
170	216	RESEARCH SERVICES	14
174	221	CONTAINER AND STORAGE	15
175	222	"COURIER, DELIVERY AND MESSENGER"	15
176	223	DISTRIBUTION AND HAULAGE	15
181	230	TAXI SERVICES	15
182	97	BOAT HIRING SERVICES	60
184	104	LEISURE EQUIPMENT HIRINGS	60
