"","Lower.Super.Output.Area","social_isolation_pc1","Construction Services","Engineering Services","Contract Services","Research and Design","Transport, Storage and Delivery","Gambling","Sports Complex","Consumer Products","Primary, Secondary and Tertiary Education","Central and local Government","Public Transport, Stations and Infrastructure","Mid.year.Population.Estimates.All.Ages.2011","Mid.year.Population.Estimates.Aged.0.15.2011","Mid.year.Population.Estimates.Aged.16.29.2011","Mid.year.Population.Estimates.Aged.30.44.2011","Mid.year.Population.Estimates.Aged.45.64.2011","Mid.year.Population.Estimates.Aged.65..2011","Ethnic.Group.White.....2011","Ethnic.Group.Mixed.multiple.ethnic.groups.....2011","Ethnic.Group.Asian.Asian.British.....2011","Ethnic.Group.Black.African.Caribbean.Black.British.....2011","Ethnic.Group.Other.ethnic.group.....2011"
"1","E01000006",0.986211740376024,35.3,5.2,6.6,1.7,47.5,18.1,26.3,10,18.8,13.6,7.7,1731,401,416,475,304,135,32.7,3.4,50.6,10.4,2.9
"2","E01000007",0.96650516207513,37.2,5.2,6.1,2.2,55.1,20.1,37.2,11.9,20.4,15.9,5.6,1417,349,413,424,173,58,31.6,6.3,32.1,28,2
"3","E01000008",0.684621473806453,20.3,4,5,2,45.3,17.8,25.6,10,16.4,15.1,4.5,1569,513,406,392,217,41,31.4,5.4,22.6,37.2,3.4
"4","E01000009",0.843116781315245,40.4,5.8,6.8,2.3,54.8,19.3,31.9,11,20.8,15.5,6.8,1798,317,524,449,328,180,23.8,3.5,57.1,12.9,2.8
"5","E01000010",1.67280551300424,32.3,6.1,5.7,3.5,68.4,20.2,33.8,13.9,19.7,16.2,6.3,2889,662,951,892,297,87,28.6,5.2,42.4,20.4,3.3
"6","E01000011",1.0197983569083,37.9,6.1,6.4,1.1,47.4,18.3,29.9,11,19.3,14.4,6.4,1655,363,520,405,277,90,21.2,1.7,65.5,8.8,2.9
"7","E01000012",1.3500118859366,31.6,5.5,6,2,50.6,19.3,30.8,11,17.9,15.4,5,1943,584,483,590,229,57,28.1,6.2,35.5,27.9,2.3
"8","E01000013",-0.238084202065982,44.6,1,4.1,8,34.2,20.8,23.7,10.8,24.1,10.2,6.2,1668,417,308,366,357,220,68.6,4,9.9,17.1,0.3
"9","E01000014",-0.188052563966295,40.6,1.3,3.3,7.2,33.4,17.3,21.5,10.9,24.3,8.6,5.4,1667,406,348,359,364,190,75,4,4.9,15.1,1
"10","E01000015",0.111081825814964,40.7,1,4.2,6.3,28.4,15.6,20.8,9.9,18.7,11.2,5,2271,680,495,568,378,150,66.5,3.3,6.9,21.4,1.9
