"","Reference.Number","Name","group","category","class","Feature.Easting","Feature.Northing","Positional.Accuracy.Code","Unique.Property.Reference.Number","Topographic.TOID","Topographic.TOID.Version","ITN.Easting","ITN.Northing","ITN.TOID","ITN.TOID.Version","Distance","Address.Detail","Street.Name","Locality","Geographic.County","Postcode","Verified.Address","Administrative.Boundary","Telephone.Number","URL","Brand","Qualifier.Type","Qualifier.Data","Provenance","Date.of.Supply"
"12087",16426195,"The Barking Medical Group Practice",5,28,369,545546.6,184559.7,1,100050759,"0001000007375344",4,545564.1,184573.7,4000000030360795,2,22.4,"130","Upney Lane","Barking","Greater London","IG11 9LT","Y","Barking and Dagenham London Boro",2084774317,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"12221",16428900,"Dr Jaiswal",5,28,369,547520,184362.1,1,100052287,"0001000000050082",4,547522.2,184341.4,4000000030156427,5,20.8,"J Engwell Clinic","Woodward Road","Dagenham","Greater London","RM9 4SR","Y","Barking and Dagenham London Boro",2085925500,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"12222",16428904,"Dr Gupta",5,28,369,550057.4,189405.2,1,100023219445,"0001000000229463",3,550033.3,189396.4,4000000030263597,3,25.7,"206","Mawney Road","Romford","Greater London","RM7 8BU","Y","Havering London Boro",1708739379,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"12258",16444264,"Andrew Bass Pharmacy",5,28,364,548902.8,186848.1,1,100012087,"0001000000114220",3,548901.9,186866,4000000030596644,3,17.9,"1148","Green Lane","Dagenham","Greater London","RM8 1BP","Y","Barking and Dagenham London Boro",2085921756,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"12261",16444333,"Your Local Boots Pharmacy",5,28,364,544336.5,184140.7,1,100055712,"0001000007191088",6,544348.7,184150.5,5000005111018028,1,15.6,"68","East Street","Barking","Greater London","IG11 8EQ","Y","Barking and Dagenham London Boro",NA,"www.boots-uk.com","Alliance Boots","","","Beechwood House Publishing Ltd","2015-03-01"
"12265",16444257,"Talati Chemist",5,28,364,549060.4,184827,1,100013826,"0001000000157593",2,549041.4,184827.7,4000000030700505,5,19,"282","Heathway","Dagenham","Greater London","RM10 8QS","Y","Barking and Dagenham London Boro",2085923321,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"12713",16445560,"Eden Pharmacy",5,28,364,546381.7,187051.9,1,100023050872,"0001000007473242",4,546368.6,187048.3,4000000031074480,2,13.6,"79-85","Goodmayes Road","Ilford","Greater London","IG3 9UB","Y","Redbridge London Boro",2085973477,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"12716",16446649,"Lloyds Pharmacy",5,28,364,546944.4,187067.8,1,100023050755,"0001000007472759",3,546944.9,187047.9,4000000030464100,3,19.9,"2 Brooks Parade","Green Lane","Ilford","Greater London","IG3 9RT","Y","Redbridge London Boro",2085992495,"www.lloydspharmacy.com","Lloyds Pharmacy","","","Beechwood House Publishing Ltd","2015-03-01"
"12718",16446690,"Britannia Pharmacy",5,28,364,543917.6,185675.4,1,100023044104,"0001000007107080",3,543902.2,185670,4000000030360979,2,16.3,"223","Ilford Lane","Ilford","Greater London","IG1 2RZ","Y","Redbridge London Boro",2084781756,"","","","","Beechwood House Publishing Ltd","2015-03-01"
"12922",16451427,"Morrisons Pharmacy",5,28,364,546242.7,180854.8,1,10010194718,"0001000007457350",5,546185,180711,4000000030245023,4,154.9,"","Twin Tumps Way","London","Greater London","SE28 8RD","Y","Greenwich London Boro",2083106585,"","Morrisons","","","Beechwood House Publishing Ltd","2015-03-01"
