"","variable","importance"
"count.mean.category","count.mean.category",0.131260531944796
"t.2","t.2",0.0955948804731963
"t.3","t.3",0.0634380070292122
"t.4","t.4",0.213485109192091
"t.6","t.6",0.0747345395681445
"t.7","t.7",0.131855863553534
"t.8","t.8",0.0863443504165217
"t.9","t.9",1.02155113212498
"t.10","t.10",0.0782856807507272
"t.11","t.11",0.0939703403132851
"t.13","t.13",0.119392996134873
"t.14","t.14",0.153050164089828
"t.15","t.15",0.186787851768751
"t.18","t.18",0.954483231438575
"t.22","t.22",0.108161442681927
"t.24","t.24",0.582685723355152
"t.28","t.28",0.140967974007673
"t.31","t.31",0.0588025618592803
"t.32","t.32",0.157819738201121
"t.33","t.33",0.706176666500516
"t.35","t.35",0.738792854424304
"t.37","t.37",0.0959155640043513
"t.46","t.46",1.13232092939324
"t.47","t.47",0.127464450023829
"t.48","t.48",0.0991380547857244
"t.57","t.57",0.0710830732135185
"Mid.year.Population.Estimates.All.Ages.2011","Mid.year.Population.Estimates.All.Ages.2011",0.184881121124369
"Mid.year.Population.Estimates.Aged.0.15.2011","Mid.year.Population.Estimates.Aged.0.15.2011",0.265262250279787
"Mid.year.Population.Estimates.Aged.16.29.2011","Mid.year.Population.Estimates.Aged.16.29.2011",0.131975532520528
"Mid.year.Population.Estimates.Aged.30.44.2011","Mid.year.Population.Estimates.Aged.30.44.2011",0.310721157923686
"Mid.year.Population.Estimates.Aged.45.64.2011","Mid.year.Population.Estimates.Aged.45.64.2011",0.292866241070128
"Mid.year.Population.Estimates.Aged.65..2011","Mid.year.Population.Estimates.Aged.65..2011",0.624871530357828
"Ethnic.Group.White.....2011","Ethnic.Group.White.....2011",4.73039726043739
"Ethnic.Group.Mixed.multiple.ethnic.groups.....2011","Ethnic.Group.Mixed.multiple.ethnic.groups.....2011",0.13593241776423
"Ethnic.Group.Asian.Asian.British.....2011","Ethnic.Group.Asian.Asian.British.....2011",2.34134440573454
"Ethnic.Group.Black.African.Caribbean.Black.British.....2011","Ethnic.Group.Black.African.Caribbean.Black.British.....2011",0.16216631289481
"Ethnic.Group.Other.ethnic.group.....2011","Ethnic.Group.Other.ethnic.group.....2011",0.32378549670568
"Ethnic.Group.BAME.....2011","Ethnic.Group.BAME.....2011",3.98551056618711
