Lower Super Output Area,Names,Mid year Population Estimates;All Ages;2011,Mid year Population Estimates;Aged 0 15;2011,Mid year Population Estimates;Aged 16 29;2011,Mid year Population Estimates;Aged 30 44;2011,Mid year Population Estimates;Aged 45 64;2011,Mid year Population Estimates;Aged 65+;2011,Mid year Population Estimates;Working age;2011,2011 Census Population;Age Structure;All Ages,Population Density;Area (Hectares);,Household Composition;% Lone parent household;2011,Household Composition;% One person household;2011,Ethnic Group;White (%);2011,Ethnic Group;Mixed/multiple ethnic groups (%);2011,Ethnic Group;Asian/Asian British (%);2011,Ethnic Group;Black/African/Caribbean/Black British (%);2011,Ethnic Group;Other ethnic group (%);2011,Ethnic Group;BAME (%);2011,Tenure;Social rented (%);2011,Tenure;Private rented (%);2011,Dwelling type;Household spaces with no usual residents (%);2011,House Prices;Median Price (£);2011,Adults in Employment;% of households with no adults in employment: With dependent children;2011,Lone Parents;Lone parent not in employment %;2011,Economic Activity;Unemployment Rate;2011,Qualifications;% No qualifications;2011,Qualifications;% Highest level of qualification: Level 1 qualifications;2011,Qualifications;% Highest level of qualification: Level 2 qualifications;2011,Qualifications;% Highest level of qualification: Apprenticeship;2011,Qualifications;% Highest level of qualification: Other qualifications;2011,Health;Day to day activities limited a lot (%);2011,Health;Day to day activities limited a little (%);2011,Health;Fair health (%);2011,Health;Bad or Very Bad health (%);2011,Car or van availability;No cars or vans in household (%);2011,Car or van availability;1 car or van in household (%);2011,Public Transport Accessibility Levels (2014);% 0 1 (poor access),Public Transport Accessibility Levels (2014);% 2 3 (average access),"Household Income, 2011/12;Mean Annual Household Income estimate (£)",pop_density_2011
E01000027,Barking and Dagenham 001A,1710,470,316,350,345,229,1011,1709,147.5,24.5,27.3,71.7,5.4,9.2,13.3,0.4,28.3,45.4,8,3,-182500,13,54.8,11.3,34.6,18,14.7,2.4,6.9,9.9,9.2,15.6,6.3,34.5,42.6,69.2,30.8,-31995,11.59322034
E01000028,Barking and Dagenham 001B,1553,418,318,330,268,219,916,1549,14.4,24.8,32.2,57.9,5.2,13.9,21.7,1.3,42.1,52.3,13.4,3.3,-150000,13,54.8,14.2,31.1,14.7,15.2,1.6,7.5,11.6,9.6,13.8,9,43.6,41.2,100,0,-30915,107.8472222
E01000029,Barking and Dagenham 001C,1591,286,246,294,328,437,868,1602,25.7,11.4,32.5,63.9,2.6,18.7,13.2,1.7,36.1,8,9.3,3.5,-231000,4,42.2,7.4,33.3,12.7,12.4,3.5,7.9,12.2,12.1,18.7,7.5,27,49.4,87.1,12.9,-43034,61.90661479
E01000030,Barking and Dagenham 001D,1929,580,393,418,333,205,1144,1915,28.6,27.1,28.3,65.7,6.1,7.7,18.7,1.8,34.3,60.6,9.4,2,-176500,17,61.2,14.1,30.2,17.4,14.1,1.8,9,8.6,9.3,14.6,6.7,44.9,41.6,63.6,36.4,-29508,67.44755245
E01000031,Barking and Dagenham 002A,1617,351,293,334,409,230,1036,1617,84.4,13.2,26.6,49.8,5,26.5,15.8,2.9,50.2,5.4,14.4,3.2,-223750,6,52.9,8.1,19.6,16.5,16.6,2.2,9.7,8,9.3,14.4,4.9,25.6,44,28.2,71.8,-47995,19.15876777
E01000032,Barking and Dagenham 002B,1641,357,331,356,361,236,1048,1629,37.6,15.8,28.7,62.3,3.8,19.2,12.6,2.1,37.7,15.4,20.9,2.8,-216000,7,52.2,10,26,16.3,16.4,1.9,8.8,8.8,8,14.2,6.6,29.6,47.9,46.6,52.3,-40236,43.64361702
E01000110,Barking and Dagenham 002C,1418,297,268,295,363,195,926,1416,19.5,14,18.4,55.4,3.8,22.2,16.4,2.1,44.6,2.6,14.4,4.6,-212000,4,33.3,7.3,22,13.7,19,2.1,7.2,7.6,8.8,13.8,5,19.2,48.5,29.8,70.2,-52664,72.71794872
E01000111,Barking and Dagenham 002D,1846,446,377,406,371,246,1154,1833,29.7,17.1,30.7,61,3.8,16.7,16.8,1.6,39,30.1,16.9,2.4,-174000,10,51.7,10.3,28.5,15.5,13.9,2.4,9.5,8,8.3,12.9,5.1,36.9,45.5,54.5,45.5,-34685,62.15488215
E01000112,Barking and Dagenham 002E,1881,404,417,482,376,202,1275,1871,27.8,16.5,28.8,49.9,5,25.7,17.7,1.8,50.1,7.6,30.7,1.3,-185000,7,46.6,9,22.1,14.6,14.9,2,9.5,7.5,6.7,12.3,4.9,35.6,44.7,0,92.2,-40827,67.6618705
E01000113,Barking and Dagenham 002F,1685,402,283,436,391,173,1110,1679,15.4,14.7,26.7,49.3,4.3,26.3,17.1,3,50.7,4.4,29.9,3.1,-204500,8,52.3,9.6,18,16.4,14.9,2.4,11.1,7.3,7.6,11.7,4.6,35.9,44.5,0,79.9,-42391,109.4155844
E01000034,Barking and Dagenham 003A,1436,312,263,258,332,271,853,1444,51.4,19.7,27.5,76.5,2.3,4.5,16.2,0.6,23.5,39.8,10.1,1.9,-172500,9,46.5,8.7,38.5,15,15.5,2.1,6.5,14.5,10.4,17.5,9.4,31.1,48.4,100,0,-36749,27.93774319
