"","variable","importance"
"count.mean.category","count.mean.category",0.122190081606163
"t.2","t.2",0.0996837168314235
"t.3","t.3",0.0618795781377777
"t.4","t.4",0.301335773582739
"t.6","t.6",0.0915252796715431
"t.7","t.7",0.152756439108263
"t.8","t.8",0.120803488910025
"t.9","t.9",0.956350000969113
"t.10","t.10",0.0965480798554947
"t.11","t.11",0.086816490666226
"t.13","t.13",0.125841845439014
"t.14","t.14",0.179174430351882
"t.15","t.15",0.221964627402061
"t.18","t.18",0.911338691371884
"t.22","t.22",0.111404448989404
"t.24","t.24",0.460581747991467
"t.28","t.28",0.0921092026938483
"t.31","t.31",0.0793458774205786
"t.32","t.32",0.162133953648244
"t.33","t.33",0.586501760463489
"t.35","t.35",0.623980385611545
"t.37","t.37",0.0956140763175202
"t.46","t.46",1.21543214564087
"t.47","t.47",0.108210140255542
"t.48","t.48",0.081347689324546
"t.57","t.57",0.0824579675400207
"Mid.year.Population.Estimates.Aged.0.15.2011","Mid.year.Population.Estimates.Aged.0.15.2011",0.238956499107161
"Mid.year.Population.Estimates.Aged.16.29.2011","Mid.year.Population.Estimates.Aged.16.29.2011",0.160024630823283
"Mid.year.Population.Estimates.Aged.30.44.2011","Mid.year.Population.Estimates.Aged.30.44.2011",0.32225666271361
"Mid.year.Population.Estimates.Aged.45.64.2011","Mid.year.Population.Estimates.Aged.45.64.2011",0.336038169472581
"Mid.year.Population.Estimates.Aged.65..2011","Mid.year.Population.Estimates.Aged.65..2011",0.546637143923915
"Ethnic.Group.White.....2011","Ethnic.Group.White.....2011",4.93016075433075
"Ethnic.Group.Mixed.multiple.ethnic.groups.....2011","Ethnic.Group.Mixed.multiple.ethnic.groups.....2011",0.110809666997687
"Ethnic.Group.Asian.Asian.British.....2011","Ethnic.Group.Asian.Asian.British.....2011",2.51769803128467
"Ethnic.Group.Black.African.Caribbean.Black.British.....2011","Ethnic.Group.Black.African.Caribbean.Black.British.....2011",0.163080863631281
"Ethnic.Group.Other.ethnic.group.....2011","Ethnic.Group.Other.ethnic.group.....2011",0.314694002001013
"Ethnic.Group.BAME.....2011","Ethnic.Group.BAME.....2011",3.96898542384163
