"","1:17","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"Household.Composition...Lone.parent.household.2011",1,-0.140067940970177,0.323662704993478,-0.291076888302355,0.0626613120845464,-0.330059210331918,0.0329630234557731,-0.100237943115114,0.409803567384334,-0.0554427113006506,0.257270096115503,-0.160322688884097,0.382744302106079,0.200853037219831,-0.327006218701199,-0.105222776347643,-0.167194369683349,0.266832937525414
"Household.Composition...One.person.household.2011",2,-0.157712315470107,0.191903174532809,0.356801905043154,0.3118712004009,0.566513428005142,0.342222896354644,0.14683035761035,0.0916987309474878,0.212683367589257,-0.182924940209314,-0.112104467586141,0.245264957966775,0.137798070629965,0.0144100174168923,0.064800029079994,-0.135508421134948,0.229197236678477
"Tenure.Social.rented.....2011",3,-0.187939829826482,0.50459630969942,-0.0563046637812126,0.0693502082108477,0.0763029543953987,-0.234970439754021,0.043367486371154,0.0770398677432506,0.126776478878671,-0.0523540689784176,-0.00947647477901879,-0.0291859006684645,0.225655929381847,-0.0811897035489402,0.286041579742826,0.324044739062466,-0.607569255612463
"Tenure.Private.rented.....2011",4,0.314170066245468,0.012332285138561,0.183261006835114,0.0906844698348398,-0.0921729838528641,0.513429682410884,-0.112890071845696,0.106043176672408,-0.20070553858282,0.320857164134886,0.10259514743951,0.301466557090224,-0.358686038079985,-0.00467617189207082,0.265781899351719,0.166322117438016,-0.302689784374246
"Dwelling.type.Household.spaces.with.no.usual.residents.....2011",5,0.11253382466115,-0.165782001177629,0.151939532316342,0.80728750181165,-0.438162081941376,-0.105233518224077,0.0944512360925606,0.0339920086767868,0.0111312369887008,-0.150022490056327,-0.0880700924387519,-0.171477912596455,0.0716194019323045,-0.0111017177959142,0.0780860109240195,-0.02044699691366,-0.0189044693756877
"Lone.Parents.Lone.parent.not.in.employment...2011",6,-0.0659425874503336,0.303418756619019,-0.127328081702479,0.0825998462207321,-0.156050784580015,0.400843748779268,-0.62069612308032,-0.210953564290145,0.337340300866887,-0.13921030329916,0.120566316606671,-0.295209277154236,-0.0244066726575701,0.0863260116998166,-0.141619461801192,-0.00515929774597107,0.0526072150693889
"Economic.Activity.Unemployment.Rate.2011",7,-0.0726518418897928,0.414168402699098,-0.133406963554093,0.200768825375299,0.0944734048484387,-0.144298400721875,0.158801678038481,-0.162058675870819,-0.163597411925555,0.177314952236375,-0.384798750118314,-0.0641085184276087,-0.553301062819933,0.303353330618614,-0.271217974887978,-0.0109176706411763,0.040299930625784
"Qualifications...No.qualifications.2011",8,-0.423036158169596,0.0209235523337,0.0750013204480242,-0.0740062902033795,-0.200813225684661,-0.197060662376759,-0.0427801898387086,0.0968380673402794,0.162023145236367,-0.0659712507393952,0.236524922293714,0.0876312210757364,-0.397082788605163,0.197115399539474,0.577713913173221,-0.236537856544476,0.196657449644922
"Qualifications...Highest.level.of.qualification..Level.1.qualifications.2011",9,-0.217871641259466,-0.0164586775950194,-0.305517574906773,0.0282594141074254,0.0735134795930365,0.291457202108499,-0.0199764031859402,0.244276469050509,-0.664056962760099,-0.404604985660379,-0.00422938434601295,-0.191474190643147,0.0918951893864594,0.197718799386181,0.136509153409772,-0.00297593990271449,-0.0127177912176688
"Qualifications...Highest.level.of.qualification..Level.2.qualifications.2011",10,-0.239797516384514,-0.1377394774979,-0.426161774154146,0.134929446004125,-0.00540650351635563,0.295103572937905,0.332072444744547,-0.502292424322592,0.0766863661678478,0.386382976943191,0.0411596006338262,0.00537785570387852,0.234240288275583,0.0531334874015372,0.228374799378995,-0.0838661710612045,-0.0156248435255541
"Qualifications...Highest.level.of.qualification..Apprenticeship.2011",11,-0.16780654493594,-0.367409949050926,-0.13187009693018,0.211371971854145,0.411590461900903,-0.151142977837957,-0.42830416759831,0.309172743932997,0.0574372023216135,0.426711422270228,-0.191415678081302,-0.249366601549846,-0.0452938709190919,-0.0398910930695305,0.1076923456252,0.0456759765688028,-0.0443599158403439
"Qualifications...Highest.level.of.qualification..Other.qualifications.2011",12,0.383120534287753,0.231442476768396,0.201568596226819,-0.171101249720497,-0.0414232095552085,-0.0795081716647027,-0.155765377528315,-0.114064598931894,-0.149594240706317,0.175220062956597,-0.372791918327892,-0.190066051474946,0.344759885189652,0.253412778641319,0.422332548351313,-0.26589091295919,0.155296113542802
"Health.Day.to.day.activities.limited.a.lot.....2011",13,-0.315885402239356,-0.0430631260008843,0.34021008759246,-0.072998003266846,-0.166231784805303,0.0977580663167217,0.046760385551612,0.184012345894651,-0.0256944404809455,0.2462807901701,0.0933377138925692,-0.0590978734641221,0.189938476043006,0.36764911037623,-0.356311560810102,-0.413300334148725,-0.401891947872689
"Health.Day.to.day.activities.limited.a.little.....2011",14,-0.262988294052491,-0.0870140847606779,0.197367757445034,-0.0265358709918602,-0.00317677734274494,-0.0256162272499227,-0.241587317342191,-0.417045422614126,-0.258397668819874,-0.15230461152942,-0.300882365336888,0.1040804099343,-0.123228407569423,-0.530572457726212,0.0343766926659001,-0.319831235327936,-0.243217585327199
"Health.Fair.health.....2011",15,-0.265965465346136,-0.0856436000693728,0.209747650929237,0.0754100885056012,-0.0795458513386968,-0.167121173605518,-0.313744712339987,-0.272900328282153,-0.230671036404918,0.0661260485075553,-0.000538086102566856,0.416065805645637,0.230651106619751,0.325307148665648,-0.0799483259796274,0.48383202306603,0.186753213736129
"Health.Bad.or.Very.Bad.health.....2011",16,-0.304334931129709,0.0896745432490453,0.385296238465524,-0.164117400938642,-0.172466433056481,0.209237061271301,0.224945990798176,0.0629455038728081,-0.0841235887449132,0.221131634968391,-0.0861744145694545,-0.481583699549729,-0.0278068197711824,-0.286233315934308,0.0222699330495445,0.382806919736633,0.26608020235981
"Car.or.van.availability.1.car.or.van.in.household.....2011",17,-0.0895451230137315,-0.282002221996404,-0.0915012808595084,-0.223256647774223,-0.223483907117013,0.220112268894765,0.0675986385607888,0.135584840323905,0.357985368333818,-0.232544097054173,-0.663937300211582,0.13753790496734,-0.0457435927436151,0.18878563831733,0.0549879713686292,0.175872131959148,-0.138730810572332
